A0,A1,B0,B1,Irrelevant,Correlated,class
b'0',b'0',b'0',b'0',b'1',b'0',b'0'
b'0',b'0',b'0',b'1',b'0',b'0',b'0'
b'0',b'0',b'0',b'1',b'1',b'0',b'0'
b'0',b'0',b'1',b'0',b'0',b'0',b'0'
b'0',b'0',b'1',b'0',b'1',b'0',b'0'
b'0',b'0',b'1',b'1',b'0',b'1',b'1'
b'0',b'0',b'1',b'1',b'1',b'1',b'1'
b'0',b'1',b'0',b'0',b'0',b'0',b'0'
b'0',b'1',b'0',b'0',b'1',b'0',b'0'
b'0',b'1',b'0',b'1',b'0',b'0',b'0'
b'0',b'1',b'0',b'1',b'1',b'0',b'0'
b'0',b'1',b'1',b'0',b'0',b'0',b'0'
b'0',b'1',b'1',b'0',b'1',b'0',b'0'
b'0',b'1',b'1',b'1',b'0',b'1',b'1'
b'0',b'1',b'1',b'1',b'1',b'1',b'1'
b'1',b'0',b'0',b'0',b'0',b'0',b'0'
b'1',b'0',b'0',b'0',b'1',b'0',b'0'
b'1',b'0',b'0',b'1',b'0',b'0',b'0'
b'1',b'0',b'0',b'1',b'1',b'0',b'0'
b'1',b'0',b'1',b'0',b'0',b'0',b'0'
b'1',b'0',b'1',b'0',b'1',b'0',b'0'
b'1',b'0',b'1',b'1',b'0',b'1',b'1'
b'1',b'0',b'1',b'1',b'1',b'1',b'1'
b'1',b'1',b'0',b'0',b'0',b'1',b'1'
b'1',b'1',b'0',b'0',b'1',b'1',b'1'
b'1',b'1',b'0',b'1',b'0',b'1',b'1'
b'1',b'1',b'0',b'1',b'1',b'1',b'1'
b'1',b'1',b'1',b'0',b'0',b'1',b'1'
b'1',b'1',b'1',b'0',b'1',b'1',b'1'
b'1',b'1',b'1',b'1',b'0',b'1',b'1'
b'1',b'1',b'1',b'1',b'1',b'1',b'1'
b'0',b'0',b'0',b'0',b'0',b'0',b'0'
b'0',b'0',b'0',b'0',b'0',b'1',b'0'
b'0',b'0',b'0',b'0',b'1',b'0',b'0'
b'0',b'0',b'0',b'0',b'1',b'1',b'0'
b'0',b'0',b'0',b'1',b'0',b'0',b'0'
b'0',b'0',b'0',b'1',b'0',b'1',b'0'
b'0',b'0',b'0',b'1',b'1',b'0',b'0'
b'0',b'0',b'0',b'1',b'1',b'1',b'0'
b'0',b'0',b'1',b'0',b'0',b'0',b'0'
b'0',b'0',b'1',b'0',b'0',b'1',b'0'
b'0',b'0',b'1',b'0',b'1',b'0',b'0'
b'0',b'0',b'1',b'0',b'1',b'1',b'0'
b'0',b'0',b'1',b'1',b'0',b'0',b'1'
b'0',b'0',b'1',b'1',b'0',b'1',b'1'
b'0',b'0',b'1',b'1',b'1',b'0',b'1'
b'0',b'0',b'1',b'1',b'1',b'1',b'1'
b'0',b'1',b'0',b'0',b'0',b'0',b'0'
b'0',b'1',b'0',b'0',b'0',b'1',b'0'
b'0',b'1',b'0',b'0',b'1',b'0',b'0'
b'0',b'1',b'0',b'0',b'1',b'1',b'0'
b'0',b'1',b'0',b'1',b'0',b'0',b'0'
b'0',b'1',b'0',b'1',b'0',b'1',b'0'
b'0',b'1',b'0',b'1',b'1',b'0',b'0'
b'0',b'1',b'0',b'1',b'1',b'1',b'0'
b'0',b'1',b'1',b'0',b'0',b'0',b'0'
b'0',b'1',b'1',b'0',b'0',b'1',b'0'
b'0',b'1',b'1',b'0',b'1',b'0',b'0'
b'0',b'1',b'1',b'0',b'1',b'1',b'0'
b'0',b'1',b'1',b'1',b'0',b'0',b'1'
b'0',b'1',b'1',b'1',b'0',b'1',b'1'
b'0',b'1',b'1',b'1',b'1',b'0',b'1'
b'0',b'1',b'1',b'1',b'1',b'1',b'1'
b'1',b'0',b'0',b'0',b'0',b'0',b'0'
b'1',b'0',b'0',b'0',b'0',b'1',b'0'
b'1',b'0',b'0',b'0',b'1',b'0',b'0'
b'1',b'0',b'0',b'0',b'1',b'1',b'0'
b'1',b'0',b'0',b'1',b'0',b'0',b'0'
b'1',b'0',b'0',b'1',b'0',b'1',b'0'
b'1',b'0',b'0',b'1',b'1',b'0',b'0'
b'1',b'0',b'0',b'1',b'1',b'1',b'0'
b'1',b'0',b'1',b'0',b'0',b'0',b'0'
b'1',b'0',b'1',b'0',b'0',b'1',b'0'
b'1',b'0',b'1',b'0',b'1',b'0',b'0'
b'1',b'0',b'1',b'0',b'1',b'1',b'0'
b'1',b'0',b'1',b'1',b'0',b'0',b'1'
b'1',b'0',b'1',b'1',b'0',b'1',b'1'
b'1',b'0',b'1',b'1',b'1',b'0',b'1'
b'1',b'0',b'1',b'1',b'1',b'1',b'1'
b'1',b'1',b'0',b'0',b'0',b'0',b'1'
b'1',b'1',b'0',b'0',b'0',b'1',b'1'
b'1',b'1',b'0',b'0',b'1',b'0',b'1'
b'1',b'1',b'0',b'0',b'1',b'1',b'1'
b'1',b'1',b'0',b'1',b'0',b'0',b'1'
b'1',b'1',b'0',b'1',b'0',b'1',b'1'
b'1',b'1',b'0',b'1',b'1',b'0',b'1'
b'1',b'1',b'0',b'1',b'1',b'1',b'1'
b'1',b'1',b'1',b'0',b'0',b'0',b'1'
b'1',b'1',b'1',b'0',b'0',b'1',b'1'
b'1',b'1',b'1',b'0',b'1',b'0',b'1'
b'1',b'1',b'1',b'0',b'1',b'1',b'1'
b'1',b'1',b'1',b'1',b'0',b'0',b'1'
b'1',b'1',b'1',b'1',b'0',b'1',b'1'
b'1',b'1',b'1',b'1',b'1',b'0',b'1'
b'1',b'1',b'1',b'1',b'1',b'1',b'1'
